id,time,coin,side,order_price,fill_price,contracts,filled_contracts,status,outcome,pnl,candle_start_time,candle_end_time,cross_direction,candle_open,prev_price,current_price,elapsed_sec,latency_ms,filled_cost
87922,2026-03-07 11:11:11.514364+00,btc,UP,0.700,0.670,16,16,CLOSED,WIN,5.2800,2026-03-07 11:00:00+00,2026-03-07 11:15:00+00,up,67880.31,67880.31,67887.11,671,353.9,10.7200
87917,2026-03-07 11:10:43.504421+00,btc,DOWN,0.700,0.480,8,8,CLOSED,LOSS,-3.8400,2026-03-07 11:00:00+00,2026-03-07 11:15:00+00,down,67880.31,67880.31,67880.30,643,363.8,3.8400
87782,2026-03-07 09:43:24.47354+00,btc,UP,0.700,0.580,16,16,CLOSED,WIN,6.7200,2026-03-07 09:30:00+00,2026-03-07 09:45:00+00,up,67958.52,67957.29,67964.08,804,331.6,9.2800
87778,2026-03-07 09:43:12.468789+00,btc,DOWN,0.700,0.650,16,16,CLOSED,LOSS,-10.4000,2026-03-07 09:30:00+00,2026-03-07 09:45:00+00,down,67958.52,67968.15,67957.29,792,325.4,10.4000
87761,2026-03-07 09:42:12.849655+00,btc,UP,0.700,0.640,16,16,CLOSED,WIN,5.7600,2026-03-07 09:30:00+00,2026-03-07 09:45:00+00,up,67958.52,67950.82,67972.12,732,671.4,10.2400
87757,2026-03-07 09:42:09.489223+00,btc,DOWN,0.700,0.660,8,8,CLOSED,LOSS,-5.2800,2026-03-07 09:30:00+00,2026-03-07 09:45:00+00,down,67958.52,67958.59,67956.93,729,354.8,5.2800
87703,2026-03-07 09:25:24.524657+00,btc,DOWN,0.700,0.530,16,16,CLOSED,WIN,7.5200,2026-03-07 09:15:00+00,2026-03-07 09:30:00+00,down,67970.87,67973.99,67962.62,624,372.0,8.4800
87701,2026-03-07 09:25:23.495839+00,btc,UP,0.700,0.570,8,8,CLOSED,LOSS,-4.5600,2026-03-07 09:15:00+00,2026-03-07 09:30:00+00,up,67970.87,67967.89,67973.99,623,349.6,4.5600
87545,2026-03-07 08:13:52.521779+00,btc,DOWN,0.700,0.510,16,16,CLOSED,LOSS,-8.1600,2026-03-07 08:00:00+00,2026-03-07 08:15:00+00,down,67842.67,67846.75,67841.22,832,354.9,8.1600
87539,2026-03-07 08:13:45.483309+00,btc,UP,0.700,0.700,8,8,CLOSED,WIN,2.4000,2026-03-07 08:00:00+00,2026-03-07 08:15:00+00,up,67842.67,67842.00,67843.53,825,353.0,5.6000
87440,2026-03-07 07:41:45.498997+00,btc,UP,0.700,0.530,16,16,CLOSED,WIN,7.5200,2026-03-07 07:30:00+00,2026-03-07 07:45:00+00,up,67727.60,67720.88,67727.67,705,346.0,8.4800
87437,2026-03-07 07:41:28.513057+00,btc,DOWN,0.700,0.545,16,16,CLOSED,LOSS,-8.7260,2026-03-07 07:30:00+00,2026-03-07 07:45:00+00,down,67727.60,67727.90,67720.88,688,341.8,8.7260
87432,2026-03-07 07:41:26.498074+00,btc,UP,0.700,0.534,16,16,CLOSED,WIN,7.4600,2026-03-07 07:30:00+00,2026-03-07 07:45:00+00,up,67727.60,67719.53,67727.91,686,341.4,8.5400
87426,2026-03-07 07:41:13.549261+00,btc,DOWN,0.700,0.560,16,16,CLOSED,LOSS,-8.9600,2026-03-07 07:30:00+00,2026-03-07 07:45:00+00,down,67727.60,67727.90,67725.81,673,378.9,8.9600
87423,2026-03-07 07:41:12.569021+00,btc,UP,0.700,0.500,8,8,CLOSED,WIN,4.0000,2026-03-07 07:30:00+00,2026-03-07 07:45:00+00,up,67727.60,67718.85,67727.90,672,392.9,4.0000
87193,2026-03-07 06:40:12.568888+00,btc,UP,0.700,0.540,8,8,CLOSED,WIN,3.6800,2026-03-07 06:30:00+00,2026-03-07 06:45:00+00,up,67865.10,67856.73,67872.45,612,401.1,4.3200
86970,2026-03-07 05:10:39.134813+00,btc,DOWN,0.700,0.700,8,8,CLOSED,WIN,2.4000,2026-03-07 05:00:00+00,2026-03-07 05:15:00+00,down,68063.43,68106.99,68035.69,638,954.3,5.6000
86439,2026-03-07 01:41:28.529755+00,btc,UP,0.700,0.560,16,16,CLOSED,WIN,7.0400,2026-03-07 01:30:00+00,2026-03-07 01:45:00+00,up,68225.06,68223.29,68235.26,688,354.3,8.9600
86437,2026-03-07 01:41:24.534658+00,btc,DOWN,0.700,0.570,8,8,CLOSED,LOSS,-4.5600,2026-03-07 01:30:00+00,2026-03-07 01:45:00+00,down,68225.06,68226.41,68223.29,684,364.8,4.5600
86337,2026-03-07 01:12:04.513144+00,btc,DOWN,0.700,0.550,8,8,CLOSED,WIN,3.6000,2026-03-07 01:00:00+00,2026-03-07 01:15:00+00,down,68290.45,68292.65,68286.85,724,359.4,4.4000
86245,2026-03-07 00:25:30.238911+00,btc,UP,0.700,,16,0,FAILED,,,2026-03-07 00:15:00+00,2026-03-07 00:30:00+00,up,68214.04,68211.65,68222.12,630,101.4,0.0000
86242,2026-03-07 00:25:02.629585+00,btc,DOWN,0.700,0.550,8,8,CLOSED,WIN,3.6000,2026-03-07 00:15:00+00,2026-03-07 00:30:00+00,down,68214.04,68241.00,68206.77,602,442.5,4.4000
86148,2026-03-06 23:26:31.689695+00,btc,DOWN,0.700,0.520,16,16,CLOSED,LOSS,-8.3200,2026-03-06 23:15:00+00,2026-03-06 23:30:00+00,down,68334.55,68342.90,68332.14,691,510.8,8.3200
86137,2026-03-06 23:25:19.501021+00,btc,UP,0.700,0.570,8,8,CLOSED,WIN,3.4400,2026-03-06 23:15:00+00,2026-03-06 23:30:00+00,up,68334.55,68333.52,68334.79,619,357.0,4.5600
86088,2026-03-06 23:10:02.810968+00,btc,DOWN,0.700,0.640,8,8,CLOSED,LOSS,-5.1200,2026-03-06 23:00:00+00,2026-03-06 23:15:00+00,down,68319.89,68338.01,68298.90,602,648.0,5.1200
85967,2026-03-06 22:27:31.227972+00,btc,UP,0.700,,16,0,FAILED,,,2026-03-06 22:15:00+00,2026-03-06 22:30:00+00,up,68290.97,68284.39,68296.56,746,5063.8,0.0000
85962,2026-03-06 22:27:07.514154+00,btc,DOWN,0.700,0.660,8,8,CLOSED,WIN,2.7200,2026-03-06 22:15:00+00,2026-03-06 22:30:00+00,down,68290.97,68292.60,68288.84,727,367.8,5.2800
85917,2026-03-06 22:13:21.489078+00,btc,UP,0.700,0.650,16,16,CLOSED,WIN,5.6000,2026-03-06 22:00:00+00,2026-03-06 22:15:00+00,up,68289.10,68286.54,68294.13,801,339.5,10.4000
85906,2026-03-06 22:13:06.487103+00,btc,DOWN,0.700,0.570,16,16,CLOSED,LOSS,-9.1200,2026-03-06 22:00:00+00,2026-03-06 22:15:00+00,down,68289.10,68294.13,68285.42,786,329.9,9.1200
85898,2026-03-06 22:12:21.539576+00,btc,UP,0.700,0.640,16,16,CLOSED,WIN,5.7600,2026-03-06 22:00:00+00,2026-03-06 22:15:00+00,up,68289.10,68283.69,68293.68,741,363.5,10.2400
85886,2026-03-06 22:10:40.551787+00,btc,DOWN,0.700,0.560,8,8,CLOSED,LOSS,-4.4800,2026-03-06 22:00:00+00,2026-03-06 22:15:00+00,down,68289.10,68292.31,68288.00,640,396.4,4.4800
85826,2026-03-06 21:55:02.277911+00,btc,DOWN,0.700,,8,0,FAILED,,,2026-03-06 21:45:00+00,2026-03-06 22:00:00+00,down,68238.56,68245.34,68206.01,601,1098.4,0.0000
